Method,GldStd,PPIN,Predicts,Refs,Precision,Recall,F0.5-score,F1-score,F2-score,AUC-PR,MMR,Sensitivity,PPP,Accuracy,F-Match,Separation
PC2P,CYC,KroganExt,225,408,0.8533333333333334,0.5245098039215687,0.7582602533439633,0.6496845500687823,0.5683081876877626,0.3241669734524041,0.4319829844621599,0.5661458333333333,0.7446443873179092,0.6492898560697581,0.5931372549019608,0.6748796243653349
CUBCO+,CYC,KroganExt,224,408,0.7946428571428571,0.48284313725490197,0.7037521674908485,0.6006920652322872,0.5239612221478436,0.270711696262191,0.38809789452263255,0.48020833333333335,0.7485380116959064,0.5995449866633349,0.5392156862745098,0.6383289983661354
ClusterOne,CYC,KroganExt,132,408,0.8712121212121212,0.3284313725490196,0.6547861853287104,0.4770307082714215,0.37518016438783064,0.2063485761901848,0.24418407050596574,0.46510416666666665,0.6791778373547811,0.5620395378097206,0.39215686274509803,0.4809928013790002
P5COMP,CYC,BIM,834,408,0.9376498800959233,0.8774509803921569,0.9249582381798189,0.9065521640858253,0.8888643354440829,0.6676255744102151,0.8133344057672409,0.9526041666666667,0.7462039045553145,0.8431114687052527,0.9632352941176471,0.5086245195666291
PC2P,CYC,BIM,307,408,0.9511400651465798,0.8308823529411765,0.9243819897353145,0.8869534830584788,0.8524380099101473,0.6580853466386237,0.6758694245294276,0.9260416666666667,0.7521978021978022,0.8346055993163816,0.9068627450980392,0.8290169887512389
CUBCO+,CYC,BIM,312,408,0.9102564102564102,0.7598039215686274,0.8755808032588632,0.8282531797998044,0.7857795675891812,0.5648840033752851,0.652379530870216,0.79375,0.7840050377833753,0.7888624713728966,0.8382352941176471,0.8110687003824637
ClusterOne,CYC,BIM,209,408,0.9521531100478469,0.5955882352941176,0.850337623971302,0.7327983997454139,0.6438071653952151,0.45504573230498147,0.4497041556733898,0.8359375,0.6864224137931034,0.7574999911090247,0.6862745098039216,0.6460513995886064
P5COMP,SGD,Collins,435,306,0.8298850574712644,0.5555555555555556,0.7552933299857729,0.6655604719764012,0.594884977918397,0.3233181241668159,0.49916615634645006,0.5726593911545089,0.6335800807537012,0.6023500504623861,0.6372549019607843,0.4051950194197401
PC2P,SGD,Collins,168,306,0.8214285714285714,0.5294117647058824,0.7398141529664046,0.6438569206842923,0.5699339207048459,0.35954504618760114,0.40744710673818907,0.5640436530729466,0.6383363471971067,0.6000413028803074,0.6241830065359477,0.6480992304974384
CUBCO+,SGD,Collins,157,306,0.7898089171974523,0.46405228758169936,0.6925739458779105,0.5846143630266609,0.5057735393807089,0.26838380275989054,0.35939768150691964,0.4870763928776565,0.62148070907195,0.5501895873404127,0.5849673202614379,0.6255481219206933
ClusterOne,SGD,Collins,108,306,0.8981481481481481,0.3790849673202614,0.7050655437752212,0.5331438047855959,0.42862802462363625,0.29760848192679346,0.28374239773713794,0.49511774842044803,0.6179337231968811,0.5531274298950506,0.434640522875817,0.5112005100521464
P5COMP,SGD,Gavin,381,306,0.821522309711286,0.47058823529411764,0.7148975047107863,0.5983988529095472,0.5145487423968437,0.2796679059044576,0.4129735778000038,0.4939689833429064,0.6433941997851772,0.5637524090916214,0.5359477124183006,0.3634675011448777
PC2P,SGD,Gavin,141,306,0.8439716312056738,0.4542483660130719,0.7203640797839909,0.5906128934354525,0.5004689721944873,0.3001119708701961,0.3449021635444162,0.49167145318782307,0.6614906832298136,0.5702947356357135,0.5196078431372549,0.5948988897445631
CUBCO+,SGD,Gavin,141,306,0.7872340425531915,0.4084967320261438,0.664091666188042,0.5378845147409432,0.45198678732677916,0.25067256240992486,0.32428744038910895,0.44055140723721997,0.652027027027027,0.5359584165898111,0.5,0.5774128503797538
ClusterOne,SGD,Gavin,94,306,0.8829787234042553,0.3235294117647059,0.6560793331417073,0.47354771784232363,0.37047557214737864,0.25639141446841496,0.23767610683567858,0.42044801838024126,0.632420091324201,0.5156547044109183,0.37254901960784315,0.474050591128419
P5COMP,SGD,KroganCore,442,306,0.7963800904977375,0.5294117647058824,0.7234198027036902,0.6360168640835173,0.5674571899405316,0.2609493798105326,0.46483444875552354,0.5393452039058013,0.651896490606168,0.5929563606636327,0.6176470588235294,0.38754341894421585
PC2P,SGD,KroganCore,164,306,0.8048780487804879,0.4803921568627451,0.7090861252411859,0.6016744186046512,0.5225231047631358,0.29956394419313315,0.38919349384489094,0.5226881102814475,0.6373937677053825,0.5771985307908348,0.5816993464052288,0.6223647579906654
CUBCO+,SGD,KroganCore,160,306,0.7375,0.41830065359477125,0.6398481716202935,0.5338234254612285,0.4579412050063064,0.18950066107586658,0.3376129171697764,0.4428489373923033,0.6353591160220995,0.530441428805198,0.5359477124183006,0.5953412314626012
ClusterOne,SGD,KroganCore,108,306,0.8796296296296297,0.3562091503267974,0.6798366553743533,0.5070760491650752,0.40432792927873046,0.25932096437365393,0.2731981230268628,0.462952326249282,0.6217038539553753,0.5364878800371774,0.4215686274509804,0.5010852195782692
P5COMP,SGD,KroganExt,447,306,0.8053691275167785,0.5522875816993464,0.7377550129507291,0.6552398184197348,0.5893258786128176,0.2854807100190802,0.48029800291484037,0.5582998276852383,0.6281229980781551,0.5921832162364695,0.6241830065359477,0.39233227766797996
PC2P,SGD,KroganExt,172,306,0.8023255813953488,0.5032679738562091,0.7171008233229855,0.6185458990628091,0.5438075742067553,0.31198833541560184,0.41059330190560284,0.5491097070649053,0.6423423423423423,0.5938993310646079,0.6078431372549019,0.6337237590755906
CUBCO+,SGD,KroganExt,162,306,0.7345679012345679,0.43137254901960786,0.6440344403444035,0.5435482196615801,0.47018678160919547,0.2195106394177489,0.3435842165763144,0.4744399770246984,0.618848167539267,0.5418545103522776,0.5555555555555556,0.6046749400819657
ClusterOne,SGD,KroganExt,109,306,0.8899082568807339,0.35947712418300654,0.6871281007702016,0.5120944519101555,0.4081304793524992,0.2694307640913892,0.27462332273637624,0.4658242389431361,0.6211365902293121,0.5379037826817208,0.4215686274509804,0.49912467064675226
P5COMP,SGD,BIM,629,306,0.8696343402225755,0.8071895424836601,0.8563842329311362,0.8372492215216347,0.8189506249916656,0.5736220175719811,0.7552084148107351,0.8828259620907525,0.65273121672254,0.7591100476147999,0.8856209150326797,0.4492339809409557
PC2P,SGD,BIM,216,306,0.9166666666666666,0.7647058823529411,0.8816276202219483,0.8338192419825073,0.790929203539823,0.6160347347010142,0.6042876785774337,0.8604250430786904,0.6682926829268293,0.7582979364975819,0.8562091503267973,0.7535636617279139
CUBCO+,SGD,BIM,226,306,0.8008849557522124,0.6535947712418301,0.7663451686382766,0.7197820770286123,0.6785532195663257,0.43524017244269136,0.5504311645147201,0.7133831131533601,0.6537664132688321,0.6829245340246795,0.761437908496732,0.7187727057202522
ClusterOne,SGD,BIM,172,306,0.9127906976744186,0.6111111111111112,0.8307677506253609,0.7320898685883851,0.6543649590785088,0.5117164458056643,0.47574794008556737,0.816771970132108,0.6510067114093959,0.7291940991581576,0.6928104575163399,0.6460027101713012
P5COMP,CYC,Collins,552,408,0.8913043478260869,0.5784313725490197,0.8042957840138316,0.7015661252900232,0.6221067791379489,0.3468324583464794,0.49834311414198695,0.6614583333333334,0.7418022205009037,0.7004793076426267,0.6102941176470589,0.4185941707975754
PC2P,CYC,Collins,209,408,0.9090909090909091,0.5343137254901961,0.7972498537156232,0.6730472368014819,0.5823271717063788,0.34454450977235385,0.41417598548812395,0.640625,0.7399209486166007,0.6884851906232333,0.5833333333333334,0.6738318625003861
CUBCO+,CYC,Collins,203,408,0.8472906403940886,0.4681372549019608,0.7291759149102404,0.6030711617362252,0.5141528185127568,0.28395303813221273,0.3754404435263769,0.5578125,0.7343470483005367,0.6400218456272748,0.5343137254901961,0.6503460504333339
ClusterOne,CYC,Collins,125,408,0.968,0.36764705882352944,0.7296893091470475,0.5328987932705012,0.41970752282376456,0.25652463626921557,0.2523341116507138,0.5625,0.6945812807881774,0.6250615733216607,0.39950980392156865,0.504691903192465
P5COMP,CYC,Gavin,474,408,0.8628691983122363,0.4681372549019608,0.7383536732903851,0.6069710884750161,0.5152818783623695,0.2959198598871213,0.4033714212730734,0.540625,0.756485084306096,0.63951133586746,0.5024509803921569,0.3821379812401721
PC2P,CYC,Gavin,183,408,0.8852459016393442,0.46078431372549017,0.7475259189443921,0.6060895522388059,0.5096590224507008,0.31079085095855274,0.3550831327803789,0.5286458333333334,0.7625570776255708,0.6349193820994924,0.49264705882352944,0.612734345733419
CUBCO+,CYC,Gavin,182,408,0.8021978021978022,0.39215686274509803,0.6634554212487503,0.526790546635396,0.43681187170895164,0.24396036819450526,0.32925132827652304,0.4270833333333333,0.7849462365591398,0.5789969388495354,0.45098039215686275,0.5884803971827313
ClusterOne,CYC,Gavin,110,408,0.9,0.2867647058823529,0.6303879310344828,0.43494423791821557,0.3320090805902383,0.22704937393782046,0.2130460499307818,0.4296875,0.738045738045738,0.5631421029070087,0.3137254901960784,0.4576201265237951
P5COMP,CYC,KroganCore,574,408,0.8275261324041812,0.5563725490196079,0.7540294157137423,0.6653851612783788,0.5953906027401497,0.3056378605827997,0.4881289820795924,0.5677083333333334,0.7369905956112852,0.6468351433841728,0.6029411764705882,0.41107169465410126
PC2P,CYC,KroganCore,219,408,0.8493150684931506,0.5122549019607843,0.7505444604049858,0.6390649273789856,0.5564191307185613,0.3221498914795751,0.4161860921963981,0.5401041666666667,0.7506654835847383,0.6367397862996826,0.5735294117647058,0.6624054501981496
CUBCO+,CYC,KroganCore,223,408,0.7533632286995515,0.4411764705882353,0.6599622878692646,0.5564756541901291,0.4810445538884434,0.2280697159227354,0.3651732027624113,0.4432291666666667,0.7543323139653415,0.5782232120112412,0.5073529411764706,0.6132524066890572
ClusterOne,CYC,KroganCore,132,408,0.8560606060606061,0.33088235294117646,0.6497904314046207,0.4772855265627933,0.3771583694297751,0.20619040982811837,0.24195165919050945,0.45989583333333334,0.7015355086372361,0.568008149023978,0.39215686274509803,0.4826284743229537
P5COMP,CYC,KroganExt,586,408,0.8378839590443686,0.5735294117647058,0.767162911445146,0.6809501795810959,0.6121568226282879,0.3144682072447444,0.503127168476601,0.5875,0.7289246350908549,0.6544029516405601,0.625,0.419234117168996
PC2P,CYC,KroganExt,225,408,0.8577777777777778,0.5294117647058824,0.7631139618662683,0.6547304937806258,0.5733051686579972,0.32031960053051367,0.4302945313031185,0.5666666666666667,0.7437874892887746,0.6492145849129076,0.5980392156862745,0.6753904147644895
CUBCO+,CYC,KroganExt,235,408,0.7787234042553192,0.4852941176470588,0.694712865819989,0.5979503935838408,0.5248474735360067,0.2723196651294868,0.39644277200353945,0.4713541666666667,0.7658959537572254,0.6008396200622999,0.5343137254901961,0.6308723139506808
ClusterOne,CYC,KroganExt,132,408,0.8712121212121212,0.3284313725490196,0.6547861853287104,0.4770307082714215,0.37518016438783064,0.2063485761901848,0.24418407050596574,0.46510416666666665,0.6791778373547811,0.5620395378097206,0.39215686274509803,0.4809928013790002
P5COMP,CYC,BIM,835,408,0.9377245508982036,0.8774509803921569,0.9250163676490775,0.9065870626170369,0.8888777551297384,0.6675558347139777,0.8133344057672409,0.9526041666666667,0.7460690403036327,0.8430352759014547,0.9632352941176471,0.5084003765628321
PC2P,CYC,BIM,307,408,0.9511400651465798,0.8308823529411765,0.9243819897353145,0.8869534830584788,0.8524380099101473,0.657996928148273,0.6758694245294276,0.9260416666666667,0.7521978021978022,0.8346055993163816,0.9068627450980392,0.8290169887512387
CUBCO+,CYC,BIM,311,408,0.9163987138263665,0.7647058823529411,0.8814293191226149,0.8337083708370836,0.7908892968449813,0.5722750287678242,0.6539500851274218,0.7953125,0.7849936948297604,0.7901362527560002,0.8284313725490197,0.8121063027237578
ClusterOne,CYC,BIM,209,408,0.9521531100478469,0.5955882352941176,0.850337623971302,0.7327983997454139,0.6438071653952151,0.45504573230498147,0.4497041556733898,0.8359375,0.6864224137931034,0.7574999911090247,0.6862745098039216,0.6460513995886064
P5COMP,SGD,Collins,436,306,0.8279816513761468,0.5588235294117647,0.7552301255230125,0.6672828096118298,0.5976821192052979,0.3232596723802575,0.5008001432745546,0.5732337736932798,0.6341299225849882,0.6029135000439285,0.6405228758169934,0.4050915064502168
PC2P,SGD,Collins,168,306,0.8214285714285714,0.5294117647058824,0.7398141529664046,0.6438569206842923,0.5699339207048459,0.3618641126641216,0.4085364313569254,0.5640436530729466,0.6383363471971067,0.6000413028803074,0.6241830065359477,0.6480992304974383
CUBCO+,SGD,Collins,157,306,0.7898089171974523,0.46405228758169936,0.6925739458779105,0.5846143630266609,0.5057735393807089,0.26923927879806214,0.35939768150691964,0.4870763928776565,0.62148070907195,0.5501895873404127,0.5849673202614379,0.6255481219206934
ClusterOne,SGD,Collins,108,306,0.8981481481481481,0.3790849673202614,0.7050655437752212,0.5331438047855959,0.42862802462363625,0.29760848192679346,0.28374239773713794,0.49511774842044803,0.6179337231968811,0.5531274298950506,0.434640522875817,0.5112005100521464
P5COMP,SGD,Gavin,382,306,0.8219895287958116,0.47058823529411764,0.7151805033595263,0.5985227543483441,0.514585381842019,0.27982494681548964,0.4129735778000038,0.4939689833429064,0.6432915921288014,0.5637074540547637,0.5359477124183006,0.3631756616018054
PC2P,SGD,Gavin,141,306,0.8439716312056738,0.4542483660130719,0.7203640797839909,0.5906128934354525,0.5004689721944873,0.3001119708701961,0.3449021635444162,0.49167145318782307,0.6614906832298136,0.5702947356357135,0.5196078431372549,0.5948988897445631
CUBCO+,SGD,Gavin,141,306,0.7730496453900709,0.4019607843137255,0.6525611821739384,0.5289070359192852,0.44465007064254874,0.2442202788458873,0.32300073387364425,0.43710511200459506,0.6500566251415628,0.5330507236106447,0.4934640522875817,0.5765767820497258
ClusterOne,SGD,Gavin,94,306,0.8829787234042553,0.3235294117647059,0.6560793331417073,0.47354771784232363,0.37047557214737864,0.25639141446841496,0.23767610683567858,0.42044801838024126,0.632420091324201,0.5156547044109183,0.37254901960784315,0.474050591128419
P5COMP,SGD,KroganCore,439,306,0.8041002277904328,0.5294117647058824,0.7285026370098601,0.6384646302250805,0.5682346628510105,0.2612048998531938,0.46451128245196505,0.5393452039058013,0.6516495211067754,0.5928440299408029,0.6176470588235294,0.38882729283432327
PC2P,SGD,KroganCore,164,306,0.8048780487804879,0.4803921568627451,0.7090861252411859,0.6016744186046512,0.5225231047631358,0.29956394419313315,0.38919349384489094,0.5226881102814475,0.6373937677053825,0.5771985307908348,0.5816993464052288,0.6223647579906654
CUBCO+,SGD,KroganCore,160,306,0.71875,0.4019607843137255,0.6208849091387939,0.515582285401859,0.4408189977561706,0.16768884054323074,0.3290204702194863,0.4445720850086157,0.6269315673289183,0.5279358616774736,0.5326797385620915,0.5916408431469735
ClusterOne,SGD,KroganCore,108,306,0.8796296296296297,0.3562091503267974,0.6798366553743533,0.5070760491650752,0.40432792927873046,0.25932096437365393,0.2731981230268628,0.462952326249282,0.6217038539553753,0.5364878800371774,0.4215686274509804,0.5010852195782692
P5COMP,SGD,KroganExt,448,306,0.8013392857142857,0.5522875816993464,0.7350461107530373,0.6539021156892965,0.5888924694444875,0.28407732255092044,0.4786251115360666,0.5582998276852383,0.6283610755441741,0.5922954332091573,0.6241830065359477,0.391687374397847
PC2P,SGD,KroganExt,172,306,0.8023255813953488,0.5032679738562091,0.7171008233229855,0.6185458990628091,0.5438075742067553,0.31198833541560184,0.41059330190560284,0.5491097070649053,0.6423423423423423,0.5938993310646079,0.6078431372549019,0.6337237590755906
CUBCO+,SGD,KroganExt,162,306,0.7345679012345679,0.43137254901960786,0.6440344403444035,0.5435482196615801,0.47018678160919547,0.21147221447925366,0.34462611481709216,0.4755887421022401,0.619644723092999,0.5428591478515309,0.5490196078431373,0.6042083091048859
ClusterOne,SGD,KroganExt,109,306,0.8899082568807339,0.35947712418300654,0.6871281007702016,0.5120944519101555,0.4081304793524992,0.2694307640913892,0.27462332273637624,0.4658242389431361,0.6211365902293121,0.5379037826817208,0.4215686274509804,0.49912467064675226
P5COMP,SGD,BIM,629,306,0.8680445151033387,0.8137254901960784,0.8566081959776198,0.840007785058249,0.8240385489589964,0.5636533330044867,0.7527504384427999,0.8862722573233773,0.648202710665881,0.7579472802147801,0.8888888888888888,0.4478614635265135
PC2P,SGD,BIM,216,306,0.9166666666666666,0.7647058823529411,0.8816276202219483,0.8338192419825073,0.790929203539823,0.6160347347010142,0.6042876785774337,0.8604250430786904,0.6682926829268293,0.7582979364975819,0.8562091503267973,0.7535636617279139
CUBCO+,SGD,BIM,225,306,0.7911111111111111,0.6405228758169934,0.7555832770241003,0.7078970862754647,0.6658726886842868,0.43907540538548423,0.5498546158124507,0.7156806433084434,0.655363321799308,0.6848582654433596,0.7679738562091504,0.7184845450016817
ClusterOne,SGD,BIM,172,306,0.9127906976744186,0.6111111111111112,0.8307677506253609,0.7320898685883851,0.6543649590785088,0.5117164458056643,0.47574794008556737,0.816771970132108,0.6510067114093959,0.7291940991581576,0.6928104575163399,0.6460027101713012
P5COMP,CYC,Collins,553,408,0.8896925858951176,0.5784313725490197,0.8032453013968522,0.7010662834647572,0.6219494949927796,0.3362773025883259,0.49712249210335024,0.6614583333333334,0.7394784404854118,0.6993812814047949,0.6102941176470589,0.41885094708607434
PC2P,CYC,Collins,209,408,0.9043062200956937,0.5318627450980392,0.7932145564821834,0.6697913689625608,0.5796054844389924,0.3464899632193946,0.41450278287374487,0.6401041666666667,0.7399209486166007,0.6882052616868304,0.5808823529411765,0.6733018808397374
CUBCO+,CYC,Collins,202,408,0.8415841584158416,0.46078431372549017,0.7222141875768312,0.595513154952672,0.5066325107160068,0.2744255859907698,0.37409045908815713,0.5557291666666667,0.7331536388140162,0.638306243692436,0.5343137254901961,0.6507595470058042
ClusterOne,CYC,Collins,125,408,0.968,0.36764705882352944,0.7296893091470475,0.5328987932705012,0.41970752282376456,0.25652463626921557,0.2523341116507138,0.5625,0.6945812807881774,0.6250615733216607,0.39950980392156865,0.504691903192465
P5COMP,CYC,Gavin,476,408,0.8613445378151261,0.47058823529411764,0.738672191694442,0.6086472443867137,0.5175460742236809,0.2993074287068187,0.40612376059889665,0.5416666666666666,0.7544483985765125,0.6392648506127521,0.5049019607843137,0.3817659899799705
PC2P,CYC,Gavin,183,408,0.8852459016393442,0.46078431372549017,0.7475259189443921,0.6060895522388059,0.5096590224507008,0.31079085095855274,0.3560022504274377,0.5291666666666667,0.7620783956244302,0.6350326640034046,0.4950980392156863,0.6129403016863965
CUBCO+,CYC,Gavin,177,408,0.8192090395480226,0.3872549019607843,0.6697890354570118,0.5259050111333012,0.43290779498575244,0.25341921262326217,0.3271806901007811,0.4359375,0.7775377969762419,0.5822008960567912,0.45098039215686275,0.5928260670467553
ClusterOne,CYC,Gavin,110,408,0.9,0.2867647058823529,0.6303879310344828,0.43494423791821557,0.3320090805902383,0.22704937393782046,0.2130460499307818,0.4296875,0.738045738045738,0.5631421029070087,0.3137254901960784,0.4576201265237951
P5COMP,CYC,KroganCore,574,408,0.8257839721254355,0.5514705882352942,0.751064800730149,0.6613092248451365,0.5907160375665491,0.30712697298643754,0.48931148285768133,0.5682291666666667,0.7379679144385026,0.6475607253749476,0.6029411764705882,0.41158515576832483
PC2P,CYC,KroganCore,219,408,0.8493150684931506,0.5122549019607843,0.7505444604049858,0.6390649273789856,0.5564191307185613,0.3221908040952634,0.4161860921963981,0.5401041666666667,0.7506654835847383,0.6367397862996826,0.5735294117647058,0.6624054501981496
CUBCO+,CYC,KroganCore,219,408,0.776255707762557,0.4534313725490196,0.6795004753262466,0.5724687144482367,0.49456684121966943,0.24435970967360848,0.36799150655451635,0.4552083333333333,0.7502548419979612,0.5843990556128195,0.5049019607843137,0.6194026162788474
ClusterOne,CYC,KroganCore,132,408,0.8560606060606061,0.33088235294117646,0.6497904314046207,0.4772855265627933,0.3771583694297751,0.20619040982811837,0.24195165919050945,0.45989583333333334,0.7015355086372361,0.568008149023978,0.39215686274509803,0.4826284743229537
P5COMP,CYC,KroganExt,585,408,0.8444444444444444,0.5759803921568627,0.7724378935713792,0.6848422102074466,0.6150900249342205,0.322663018720834,0.505382313787087,0.5890625,0.7333333333333333,0.6572512203614891,0.6225490196078431,0.4198566375135408
PC2P,CYC,KroganExt,225,408,0.8533333333333334,0.5245098039215687,0.7582602533439633,0.6496845500687823,0.5683081876877626,0.3241669734524041,0.4319829844621599,0.5661458333333333,0.7446443873179092,0.6492898560697581,0.5931372549019608,0.6748796243653349
CUBCO+,CYC,KroganExt,221,408,0.8054298642533937,0.47794117647058826,0.7083557819464172,0.5999014854950354,0.5202478484131766,0.2738122624762113,0.3875063370935607,0.48072916666666665,0.7407045009784736,0.5967229319387942,0.5367647058823529,0.6415944128599541
ClusterOne,CYC,KroganExt,132,408,0.8712121212121212,0.3284313725490196,0.6547861853287104,0.4770307082714215,0.37518016438783064,0.2063485761901848,0.24418407050596574,0.46510416666666665,0.6791778373547811,0.5620395378097206,0.39215686274509803,0.4809928013790002
P5COMP,CYC,BIM,841,408,0.9310344827586207,0.8799019607843137,0.9203380174705659,0.9047463480655249,0.8896741624598439,0.6680797881267051,0.8170563602353025,0.9526041666666667,0.7476095976907812,0.8439052184933025,0.9632352941176471,0.5072466044525707
PC2P,CYC,BIM,307,408,0.9543973941368078,0.8333333333333334,0.9274499873385669,0.889766170665047,0.855025096299755,0.6580571480682257,0.6775034114575322,0.9265625,0.7516483516483516,0.8345353053191793,0.9093137254901961,0.8295714949487671
CUBCO+,CYC,BIM,311,408,0.9131832797427653,0.7647058823529411,0.8790476190476191,0.8323751549994364,0.7904089060158425,0.5722750922053769,0.649214518723382,0.7958333333333333,0.7817610062893082,0.7887657874839914,0.8333333333333334,0.8084272839039365
ClusterOne,CYC,BIM,209,408,0.9521531100478469,0.5955882352941176,0.850337623971302,0.7327983997454139,0.6438071653952151,0.45504573230498147,0.4497041556733898,0.8359375,0.6864224137931034,0.7574999911090247,0.6862745098039216,0.6460513995886064
P5COMP,SGD,Collins,436,306,0.8279816513761468,0.5555555555555556,0.7540312473890886,0.6649475041444096,0.5946889826041117,0.322731958254167,0.49916615634645006,0.5726593911545089,0.6337033299697276,0.6024086346601026,0.6372549019607843,0.404730079485294
PC2P,SGD,Collins,168,306,0.8214285714285714,0.5294117647058824,0.7398141529664046,0.6438569206842923,0.5699339207048459,0.3594332297704071,0.40744710673818907,0.5640436530729466,0.6383363471971067,0.6000413028803074,0.6241830065359477,0.6480992304974384
CUBCO+,SGD,Collins,157,306,0.7961783439490446,0.4673202614379085,0.6979477407968514,0.5889524060559134,0.5094014853149883,0.2728334239894865,0.35980448214878874,0.4830557151062608,0.6244813278008299,0.5492351721906902,0.5784313725490197,0.6244142996229853
ClusterOne,SGD,Collins,108,306,0.8981481481481481,0.3790849673202614,0.7050655437752212,0.5331438047855959,0.42862802462363625,0.29760848192679346,0.28374239773713794,0.49511774842044803,0.6179337231968811,0.5531274298950506,0.434640522875817,0.5112005100521464
P5COMP,SGD,Gavin,382,306,0.824607329842932,0.47058823529411764,0.7167643210649071,0.5992153132802283,0.5147899983657461,0.2787493077378756,0.4129735778000038,0.49511774842044803,0.6441586280814576,0.564742746355627,0.5359477124183006,0.3630497442037971
PC2P,SGD,Gavin,141,306,0.8439716312056738,0.4542483660130719,0.7203640797839909,0.5906128934354525,0.5004689721944873,0.3000652855293931,0.3449021635444162,0.49167145318782307,0.6621761658031088,0.5705901486239973,0.5196078431372549,0.5949336079808464
CUBCO+,SGD,Gavin,143,306,0.7832167832167832,0.4084967320261438,0.6618008546685322,0.5369436400943487,0.45172073333634477,0.2508809822208139,0.32687982349619793,0.43940264215967834,0.6542792792792793,0.5361828457025135,0.5,0.5754020302632596
ClusterOne,SGD,Gavin,94,306,0.8829787234042553,0.3235294117647059,0.6560793331417073,0.47354771784232363,0.37047557214737864,0.25639141446841496,0.23767610683567858,0.42044801838024126,0.632420091324201,0.5156547044109183,0.37254901960784315,0.474050591128419
P5COMP,SGD,KroganCore,441,306,0.8072562358276644,0.5359477124183006,0.733040036963378,0.6442016992165949,0.57456875851264,0.26135939074584646,0.46670852572836063,0.5393452039058013,0.6513274336283186,0.5926975008380816,0.6176470588235294,0.3888426378087952
PC2P,SGD,KroganCore,164,306,0.8048780487804879,0.4803921568627451,0.7090861252411859,0.6016744186046512,0.5225231047631358,0.30002855228278297,0.38919349384489094,0.5226881102814475,0.6373937677053825,0.5771985307908348,0.5816993464052288,0.6223647579906654
