YOR039W YOR061W
YDL007W YIL075C
YMR225C YNL284C
YJL011C YKL144C
YER022W YOL135C
YCR071C YMR193W
YHR172W YLR212C
YDL047W YFR040W
YDR118W YHR166C
YDR108W YMR218C
YDR390C YPR180W
YHR186C YJR066W
YGR165W YIL093C
YNL137C YNL306W
YDR378C YPR178W
YKR022C YLR424W
YAR003W YPL138C
YBR128C YLR360W
YMR146C YOR361C
YNR003C YPR110C
YDR121W YJL065C
YFR037C YLR033W
YGR075C YMR268C
YDL087C YLR147C
YDR405W YMR193W
YBL038W YBR282W
YBR253W YOR174W
YBR221C YER178W
YBR198C YGR274C
YOL004W YPL139C
YDR448W YLR055C
YDR145W YML015C
YBR127C YHR039C-A
YBR081C YGR252W
YBL026W YNL147W
YBR253W YOL051W
YML049C YOR319W
YDR240C YPL178W
YDR359C YFL024C
YKL057C YPL085W
YJL041W YJL061W
YDR237W YMR193W
YDR418W YML073C
YGL066W YGR274C
YDR462W YMR024W
YDR359C YHR099W
YCL010C YOL148C
YDR167W YLR055C
YBR087W YMR078C
YHL030W YPR108W
YBR282W YML009C
YBR221C YFL018C
YKL080W YOR270C
YBR282W YGR220C
YCR052W YMR091C
YDR238C YER122C
YDR155C YKR029C
YGR104C YHR058C
YGL048C YKL145W
YDR195W YER133W
YHR039C-A YOR332W
YDL195W YJR042W
YFL024C YNL107W
YDL076C YOL004W
YCR092C YOL090W
YDL134C YGL190C
YDR378C YPR082C
YGL019W YOR061W
YER029C YNL147W
YKR002W YPR107C
YDL116W YPR181C
YDL014W YOR310C
YDL113C YJL036W
YMR309C YPR041W
YGL127C YOL135C
YDR443C YHR041C
YLR312W-A YMR225C
YDR404C YOR224C
YHL004W YJR113C
YHR058C YNL236W
YBR253W YDR308C
YGR128C YPL126W
YFL024C YOR244W
YGR220C YPR100W
YLR438C-A YOR308C
YDR108W YGR166W
YDL195W YLR208W
YGR166W YKR068C
YJR068W YOL094C
YDR167W YML114C
YDR392W YMR005W
YDR303C YLR033W
YCR095C YNL032W
YBR160W YPL256C
YLR208W YPL085W
YGL048C YHL030W
YGL207W YML069W
YEL036C YPL050C
YLR147C YMR125W
YER029C YHR156C
YGR215W YMR158W
YDR473C YOR308C
YBR087W YNL290W
YDR145W YMR005W
YNR023W YOR290C
YJL063C YKR006C
YBL074C YER172C
YBR119W YGR013W
YER027C YGL115W
YBR288C YJL024C
YDR175C YOR158W
YHR041C YOR174W
YBR234C YIL062C
YDR322W YML009C
YKR006C YNL284C
YAL024C YHR158C
YDR322W YGR220C
YKR006C YMR225C
YKL003C YPL013C
YHR041C YOL051W
YDR462W YLR312W-A
YHR027C YKL145W
YHL030W YOR259C
YBR081C YDR145W
YPL213W YPR182W
YBL074C YDR473C
YHR027C YLR421C
YIR009W YMR240C
YDL030W YER029C
YER025W YJR007W
YBR146W YGR084C
YDR392W YMR223W
YDR060W YLR002C
YNL177C YNL185C
YAL016W YDL134C
YOL051W YOL135C
YFR050C YMR314W
YBR095C YMR263W
YDR235W YKL012W
YDR462W YNL005C
YNR003C YOR207C
YJR063W YOR340C
YGL019W YOR039W
YCR035C YHR081W
YBR282W YKR085C
YBR198C YGL112C
YGL103W YPL143W
YGR074W YMR125W
YGL025C YOL135C
YGL145W YOR075W
YBR278W YGL133W
YOR110W YPL007C
YLR357W YMR091C
YDR138W YHR167W
YDL195W YGL092W
YDR238C YNL287W
YDL116W YGL100W
YCR081W YGL151W
YGR252W YML015C
YER133W YNL222W
YHR099W YMR075W
YBR282W YJL063C
YLR147C YPR082C
YGL129C YHL004W
YAL043C YNL222W
YDL030W YMR288W
YAL013W YPL139C
YBL045C YPR191W
YGR156W YNL317W
YMR142C YPL249C-A
YNL248C YOR341W
YBL041W YOL038W
YJR050W YLR117C
YKL145W YLR421C
YJL081C YPR023C
YCR042C YDR448W
YHR086W YKL012W
YDL007W YOR261C
YFL008W YJL074C
YDR280W YHR081W
YHR165C YOR308C
YHR056C YIL126W
YDR418W YNL301C
YGR275W YIL126W
YBR081C YGR274C
YBL090W YNL306W
YDL150W YJL011C
YDR448W YPL254W
YFR010W YGR232W
YGL129C YNL306W
YHR147C YNL252C
YBR095C YOL004W
YBR122C YDR405W
YDR347W YNL306W
YBL041W YPR103W
YDR280W YHR069C
YBR289W YMR033W
YNL059C YOR141C
YIR010W YPL233W
YKL167C YML009C
YMR142C YNL069C
YNL025C YPR168W
YER094C YGR135W
YHR200W YIL075C
YDR322W YKR085C
YDR167W YPL254W
YAL021C YGR134W
YMR227C YPL254W
YGL127C YOR174W
YCR042C YGR252W
YGL031C YHR010W
YGR074W YPR082C
YGL129C YGR165W
YFR031C-A YHR010W
YBR122C YOR150W
YDR347W YGR165W
YBR055C YGR091W
YML105C YPR088C
YFL049W YOR290C
YGL127C YOL051W
YDR394W YPR108W
YIL075C YOR261C
YGR275W YHR056C
YDL116W YPL085W
YDR240C YHR086W
YGR091W YOR308C
YDR322W YJL063C
YGL031C YPL249C-A
YDR405W YNL185C
YER146W YNL147W
YDL145C YPL010W
YEL018W YJL081C
YIL068C YPR055W
YGR252W YMR005W
YMR218C YOR115C
YFR031C-A YPL249C-A
YCR033W YDR155C
YCR046C YDR322W
YBL103C YOL067C
YKL122C YML105C
YDR443C YPL042C
YBR055C YKL173W
YDR195W YNL222W
YLR291C YOR260W
YLR438C-A YPR178W
YNL041C YNL051W
YGR200C YPL086C
YBL026W YER029C
YDR041W YGR084C
YGR104C YNL236W
YCR046C YNL185C
YCR052W YLR321C
YHR024C YLR163C
YLR439W YPL183W-A
YGR030C YNL221C
YLL004W YNL261W
YMR188C YNR037C
YMR112C YPL042C
YGL031C YOL127W
YGL031C YNL069C
YFR031C-A YIL018W
YGL145W YNL258C
YFR031C-A YOL127W
YCR057C YLR409C
YHL025W YOR290C
YFR037C YHR056C
YFR031C-A YNL069C
YDR472W YMR218C
YDR359C YMR075W
YKR085C YML009C
YDR176W YLR055C
YKR025W YNL151C
YNL248C YOR224C
YJR101W YKL003C
YHL019C YLR170C
YBR251W YMR188C
YER146W YHR156C
YIL018W YML073C
YDR473C YPR178W
YER148W YMR236W
YGL129C YIL093C
YBR251W YPL013C
YBR253W YGR104C
YDR347W YIL093C
YDR473C YLR438C-A
YBR122C YDR237W
YMR005W YMR227C
YOL038W YOR362C
YGL150C YOR141C
YMR146C YMR309C
YDR324C YMR093W
YNL118C YOL149W
YHR099W YNL107W
YML009C YNL177C
YDL097C YOR117W
YGR220C YKL167C
YLR055C YML015C
YLR438C-A YPR082C
YOL051W YOR174W
YKL059C YNL317W
YGL240W YHR166C
YDL030W YPR182W
YBR128C YLR240W
YDR394W YHR200W
YAL001C YOR110W
YIR009W YML049C
YDR498C YOR075W
YHR167W YNL139C
YDR116C YNL185C
YGL025C YOR174W
YBR119W YGR074W
YHR099W YOR244W
YMR225C YNL177C
YMR024W YOR150W
YBL090W YPL013C
YGR166W YML077W
YGL025C YOL051W
YNL317W YOR179C
YGL094C YKL025C
YLR370C YNR035C
YKL167C YKR085C
YDR176W YML114C
YIR009W YPL213W
YCR042C YDR145W
YBR253W YER022W
YLR298C YPL178W
YFL018C YNL071W
YGR013W YGR074W
YDR473C YPR082C
YOR224C YOR340C
YNL177C YOR150W
YKL135C YPL259C
YNL025C YNR010W
YKR008W YMR091C
YDL216C YDR179C
YDR155C YOL068C
YDR073W YPL129W
YNL236W YPR070W
YBL074C YBR152W
YDR472W YGR166W
YLR033W YMR033W
YFL022C YLR060W
YER148W YGR252W
YFR010W YHL030W
YNL151C YOR116C
YKL155C YMR188C
YJR093C YLR115W
YDR145W YDR176W
YLR102C YOR249C
YDR416W YLL036C
YDR448W YMR227C
YBR127C YLR447C
YMR240C YPL213W
YLR033W YLR357W
YDR166C YER008C
YGR262C YJL184W
YML046W YPL178W
YGR220C YHR147C
YPL178W YPR182W
YBR251W YDR347W
YER178W YNL071W
YGL048C YIL075C
YGR074W YGR091W
YBR245C YFR013W
YDR311W YPR056W
YCL010C YLR055C
YFL049W YMR033W
YDR167W YMR227C
YGL100W YPL085W
YHR156C YHR165C
YER122C YFR051C
YNL021W YPR179C
YLR071C YOR174W
YDR308C YOR174W
YGR165W YJR113C
YBL084C YLR102C
YBR154C YNL151C
YLR055C YMR005W
YDL102W YJR043C
YML015C YPL254W
YER021W YPR108W
YHR165C YPR178W
YJR065C YNR035C
YLR071C YOL051W
YDR308C YOL051W
YNL051W YPR105C
YER122C YGL137W
YKR029C YOL068C
YBL090W YDR347W
YNL306W YPL013C
YER148W YML098W
YFL024C YPR023C
YGR156W YLR277C
YHR165C YLR438C-A
YBR152W YER112W
YJR101W YKL155C
YMR146C YNL244C
YDL113C YDR425W
YNL286W YPL213W
YBR257W YGR030C
YGR220C YPL183W-A
YGL048C YHR027C
YDR324C YPL126W
YCR042C YGR274C
YDL216C YMR025W
YBR103W YIL112W
YCR071C YDR405W
YBL090W YJR101W
YER029C YMR125W
YKL173W YLR275W
YMR188C YOR158W
YDL097C YDR394W
YPL139C YPR023C
YGR034W YPR043W
YBR122C YBR282W
YOR259C YPR108W
YHL025W YMR033W
YGR013W YLR147C
YDR347W YJR101W
YDL076C YIL084C
YHR200W YOR261C
YFR050C YJL001W
YCR071C YOR150W
YCR046C YNL284C
YDR207C YMR075W
YOR151C YOR224C
YLR264W YNL096C
YLR055C YMR223W
YCR046C YMR225C
YLR312W-A YLR439W
YHR167W YML062C
YDL092W YPL210C
YIL093C YMR188C
YER068W YNR052C
YKR006C YNL177C
YDR359C YEL018W
YHR165C YPR082C
YIL126W YKR008W
YDR498C YNL258C
YCR057C YLR129W
YDL003W YJL074C
YJL154C YOR069W
YER112W YNL147W
YLR381W YPR046W
YDR405W YOR150W
YDR382W YPR043W
YMR061W YOR250C
YDL042C YJL076W
YER012W YGR135W
YDR240C YKL012W
YBR079C YDR429C
YBR282W YNL177C
YHR027C YOR117W
YCR052W YPR034W
YER122C YNL287W
YDR237W YOR150W
YIL018W YNL301C
YKR025W YOR207C
YHR056C YML127W
YGR275W YML127W
YNL252C YNL284C
YKL080W YPR036W
YGL133W YJL065C
YBR289W YPL016W
YDL007W YFR052W
YER021W YOR259C
YGR091W YPR082C
YHR058C YPL042C
YBR146W YDR041W
YKR006C YLR439W
YGR084C YKL003C
YDR116C YNL284C
YER112W YHR156C
YHL019C YPR029C
YDR116C YMR225C
YDR427W YOR117W
YDR359C YJL081C
YBR055C YGR074W
YCR071C YDR237W
YDR176W YGL066W
YCR033W YIL112W
YDR235W YER029C
YDR190C YFL039C
YBR087W YOR144C
YLR115W YLR277C
YJL183W YJR075W
YML009C YPR100W
YNR023W YPL016W
YGR156W YKL059C
YDR179C YMR025W
YFR031C-A YGL031C
YKR025W YNL113W
YJL063C YNL005C
YMR158W YMR188C
YGL098W YOR075W
YGL127C YGR104C
YDR121W YOR304W
YFR037C YML127W
YKL145W YOR117W
YGR158C YOL142W
YJL085W YPR055W
YDR418W YPL143W
YMR225C YPR100W
YGR220C YMR193W
YGR090W YOR061W
YIR009W YMR288W
YER172C YPR178W
YOL038W YPR103W
YBL018C YDR478W
YDR138W YNL139C
YIL062C YNR035C
YBR193C YMR112C
YGR158C YOL021C
YIR006C YNL084C
YER148W YGR274C
YER172C YLR438C-A
YDR324C YEL055C
YML025C YNL177C
YML015C YMR227C
YJL203W YNL286W
YKL003C YMR158W
YDR443C YGL151W
YBR122C YML025C
YER148W YPL011C
YGR056W YIL126W
YDR478W YHR062C
YAL033W YBR167C
YDL195W YPR181C
YBR122C YNL252C
YBR087W YOR217W
YGR274C YMR236W
YGL031C YGL103W
YDR301W YNL317W
YBR282W YKR006C
YNL232W YOL142W
YDL111C YOL142W
YGR075C YHR165C
YML100W YMR261C
YFR031C-A YGL103W
YNL097C YPL139C
YER025W YPL237W
YDR041W YGL129C
YML092C YMR314W
YDR246W YOR115C
YBR055C YER172C
YCL010C YPL254W
YBR154C YOR207C
YIL084C YPL181W
YHR041C YMR112C
YBR055C YGR075C
YKR008W YLR321C
YML105C YPL243W
YNL232W YOL021C
YFR050C YOR362C
YBR152W YHR165C
YDR240C YML046W
YLR357W YPR034W
YHR166C YOR249C
YBR055C YER146W
YDR337W YPL118W
YGR083C YLR291C
YBR154C YNL248C
YDR404C YGL070C
YBR095C YIL084C
YJR063W YOR341W
YDR337W YKL003C
YIL112W YOL068C
YNL258C YOR075W
YGR215W YPL118W
YKL003C YNR037C
YGR084C YKL155C
YGL025C YGR104C
YDR462W YML009C
YGR215W YKL003C
YJR068W YOR144C
YGR085C YHR010W
YBR154C YNL113W
YER148W YOL148C
YGR090W YOR039W
YHR010W YOL127W
YBR253W YPR070W
YBR253W YHR058C
YDR407C YOR115C
YER022W YMR112C
YHR010W YNL069C
YGR085C YPL249C-A
YDR392W YLR055C
YDL147W YDR394W
YDR322W YKR006C
YNL032W YNL099C
YER029C YGR091W
YGR200C YLR384C
YFR002W YGL172W
YDL030W YIR009W
YDR449C YLR129W
YFR010W YIL075C
YNL222W YOR179C
YHR147C YMR024W
YDL047W YJL098W
YGL098W YNL258C
YFL049W YPL016W
YDL043C YIR009W
YDL007W YDR427W
YKR006C YPR100W
YDR145W YLR055C
YMR024W YNL252C
YDR062W YMR296C
YDR378C YER112W
YKR025W YOR210W
YDR045C YNL151C
YBL041W YGL011C
YHR099W YPR023C
YER029C YKL173W
YGL150C YNL059C
YGR086C YPL004C
YGR274C YML098W
YBR282W YPR100W
YGR085C YIL018W
YGR085C YOL127W
YGR104C YOL135C
YBR152W YDL098C
YJR068W YOR217W
YGR085C YNL069C
YIR009W YPR182W
YDR301W YGR156W
YHR166C YNL172W
YLR277C YOR179C
YBL084C YHR166C
YBR105C YGL227W
YBL038W YDR462W
YBR119W YLR275W
YER012W YMR314W
YGR119C YJL041W
YDR308C YGR104C
YER148W YGL112C
YFR010W YHR027C
YJR065C YLR370C
YCR081W YHR058C
YDR392W YML114C
YLR117C YMR213W
YIR008C YKL045W
YDR235W YPR182W
YGL129C YJR113C
YDR235W YLR298C
YFR004W YIL075C
YHL025W YPL016W
YDR145W YML114C
YJR063W YOR224C
YBR189W YGR214W
YDR337W YNL137C
YDR045C YPR110C
YBR171W YOR254C
YKL080W YOR332W
YJR109C YOR303W
YDR462W YNL284C
YER157W YGR120C
YBR211C YGR179C
YHL004W YPL118W
YDR462W YMR225C
YIR009W YOR319W
YDR308C YER022W
YDR175C YHL004W
YDL029W YNR035C
YGR215W YNL137C
YKL012W YML046W
YER012W YFR050C
YAL013W YDL076C
YGR135W YML092C
YDL150W YOR116C
YGL129C YGR084C
YHL004W YKL003C
YDR347W YGR084C
YMR188C YPL118W
YHR041C YPR070W
YOR332W YPR036W
YLR396C YPL045W
YKL013C YLR370C
YDL165W YPR072W
YNL151C YOR224C
YCL010C YMR227C
YHL015W YMR230W
YBR251W YGR215W
YOR224C YPR187W
YGL120C YLR424W
YBR251W YMR158W
YHR187W YLR384C
YHR147C YLR312W-A
YHR086W YLR298C
YBR160W YMR199W
YDR322W YPR100W
YER018C YOL069W
YDL195W YPL085W
YJR101W YPL013C
YDR422C YGL115W
YKL167C YKR006C
YBR143C YDR172W
YDL098C YHR165C
YIL093C YJR113C
YIL144W YOL069W
YCR071C YML025C
YDR175C YNL306W
YJR093C YKL018W
YMR025W YOL117W
YML025C YPR100W
YCR071C YNL252C
YKL003C YOR158W
YBR154C YOR210W
YMR091C YPR034W
YLR396C YMR231W
YGR232W YKL145W
YBR118W YPL048W
YNL137C YOR158W
YGR232W YLR421C
YDR175C YGR165W
YCR046C YNL177C
YKR008W YPR034W
YER133W YJR093C
YKL045W YNL102W
YJL085W YLR166C
YDR301W YLR277C
YDR359C YPR023C
YNL113W YNL151C
YDL097C YPR108W
YOL135C YOR174W
YAL021C YNR052C
YAL043C YJR093C
YDR237W YML025C
YDR108W YDR472W
YNL286W YOR319W
YCR081W YGL127C
YDR237W YNL252C
YBL074C YOR308C
YBR251W YNR037C
YGL103W YHR010W
YDR448W YML015C
YOR224C YOR341W
YGR252W YLR055C
YBR198C YHR099W
YPL042C YPR168W
YBR198C YER148W
YDR167W YML015C
YJL011C YNL151C
YKL155C YMR158W
YIL061C YLR275W
YGL066W YHR099W
YFR050C YPR103W
YGR274C YPL011C
YCR046C YLR439W
YBR128C YPL120W
YCR035C YDR280W
YHL004W YNL137C
YBL090W YNR037C
YBR289W YDR073W
YDR041W YDR175C
YIL062C YLR370C
YGL245W YGR264C
YDR116C YNL177C
YLR439W YOR150W
YDR392W YPL254W
YEL051W YOR270C
YER146W YGR091W
YBR279W YGL244W
YDR378C YHR165C
YMR188C YNL137C
YGR104C YOR174W
YMR236W YPL254W
YDR175C YIL093C
YDR303C YGR056W
YDR045C YOR207C
YGL127C YPR070W
YML062C YNL139C
YGR104C YOL051W
YGL103W YOL127W
YGR252W YML114C
YNL330C YPL139C
YGL103W YNL069C
YDL087C YMR125W
YHR118C YLL004W
YLR170C YPL259C
YER146W YKL173W
YBR253W YNL236W
YOR224C YPR010C
YBR055C YLR275W
YBR193C YLR071C
YBR081C YBR198C
YML009C YPL183W-A
YDL097C YHR200W
YER027C YGL208W
YJR042W YKL057C
YLR127C YOR249C
YBR193C YBR253W
YDR145W YGL066W
YDL007W YER021W
YDR195W YJR093C
YBL026W YGR074W
YGL233W YPR055W
YDL097C YOR259C
YER021W YFR004W
YDR116C YLR439W
YMR225C YPL183W-A
YDR448W YMR005W
YCR052W YDR303C
YGL233W YIL068C
YHR119W YLR015W
YDR045C YNL113W
YHR069C YOL021C
YGR274C YOL148C
YLR275W YOR308C
YMR309C YOR361C
YDR301W YKL059C
YHR012W YOR069W
YJL176C YOR290C
YNL306W YNR037C
YDR235W YGR013W
YLR298C YML046W
YHR056C YLR321C
YFL013C YFL039C
YDR498C YLR440C
YHL029C YNL056W
YDR362C YOR110W
YML073C YMR142C
YGL151W YLR071C
YNL005C YPR100W
YFR004W YOR261C
YER029C YGR074W
YBR254C YDR246W
YJL063C YNL185C
YJL069C YLR409C
YGL103W YGR085C
YBR126C YMR261C
YFR010W YGL048C
YOR116C YOR224C
YBR254C YKR068C
YGR074W YHR086W
YBL074C YDR378C
YOL051W YPR070W
YDR207C YPR023C
YHR027C YPR108W
YAL001C YBR123C
YLR147C YLR275W
YGL025C YPR070W
YIL084C YNL330C
YGR084C YMR188C
YCR081W YGL025C
YIL126W YMR033W
YBL026W YER172C
YBR251W YOR158W
YLR312W-A YPL183W-A
YDR473C YER112W
YDR478W YNL221C
YBL026W YGR075C
YGR084C YPL013C
YBR167C YBR257W
YGR215W YNL306W
YIL126W YLR357W
YLR127C YNL172W
YLR240W YLR360W
YGR156W YPR107C
YBR198C YDR392W
YBL026W YER146W
YAL033W YBR257W
YBL041W YMR314W
YDR246W YMR218C
YGR119C YJL061W
YMR223W YMR236W
YBL026W YLR147C
YNL113W YOR207C
YBL026W YDR473C
YER012W YJL001W
YKL014C YOL144W
YKL122C YPL210C
YHR156C YPR178W
YDR207C YPL181W
YFL039C YNL059C
YJR022W YNL147W
YGR220C YOR150W
YBL090W YOR158W
YOR117W YPR108W
YJL065C YOR304W
YGL092W YIL109C
YBL041W YML092C
YCR046C YPR100W
YER029C YER172C
YML009C YMR193W
YNL236W YOL135C
YDR245W YEL036C
YER029C YGR075C
YIL018W YMR142C
YDR392W YMR227C
YBR122C YMR024W
YDL082W YHR010W
YBR081C YHR099W
YLR055C YML114C
YER029C YER146W
YGR074W YLR275W
YDR027C YJL029C
